label_a,label_b,joint_images,phi_correlation
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|tortuous aorta,581,-0.032117
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|linear/patchy atelectasis,684,-0.022519
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|pneumothorax,1033,0.014827
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|hyperaeration,526,-0.021911
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|vascular calcification,666,-0.010842
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|lobar/segmental collapse,2079,0.102027
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|lung lesion,1857,0.073199
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|tortuous aorta,1420,0.042504
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|linear/patchy atelectasis,1671,0.065361
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|pneumothorax,503,-0.013396
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|hyperaeration,2117,0.123166
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|vascular calcification,1270,0.052773
anatomicalfinding|yes|pleural/parenchymal scarring,anatomicalfinding|yes|lobar/segmental collapse,778,0.014461
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|tortuous aorta,1056,0.018647
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|linear/patchy atelectasis,775,0.000186
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|pneumothorax,583,-0.00445
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|hyperaeration,1168,0.046838
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|vascular calcification,924,0.026508
anatomicalfinding|yes|lung lesion,anatomicalfinding|yes|lobar/segmental collapse,840,0.022576
anatomicalfinding|yes|tortuous aorta,anatomicalfinding|yes|linear/patchy atelectasis,1264,0.03931
anatomicalfinding|yes|tortuous aorta,anatomicalfinding|yes|pneumothorax,173,-0.03861
anatomicalfinding|yes|tortuous aorta,anatomicalfinding|yes|hyperaeration,1422,0.070069
anatomicalfinding|yes|tortuous aorta,anatomicalfinding|yes|vascular calcification,3232,0.227859
anatomicalfinding|yes|tortuous aorta,anatomicalfinding|yes|lobar/segmental collapse,220,-0.031527
anatomicalfinding|yes|linear/patchy atelectasis,anatomicalfinding|yes|pneumothorax,626,0.002596
anatomicalfinding|yes|linear/patchy atelectasis,anatomicalfinding|yes|hyperaeration,652,0.006082
anatomicalfinding|yes|linear/patchy atelectasis,anatomicalfinding|yes|vascular calcification,838,0.023056
anatomicalfinding|yes|linear/patchy atelectasis,anatomicalfinding|yes|lobar/segmental collapse,431,-0.010659
anatomicalfinding|yes|pneumothorax,anatomicalfinding|yes|hyperaeration,304,-0.017014
anatomicalfinding|yes|pneumothorax,anatomicalfinding|yes|vascular calcification,97,-0.036812
anatomicalfinding|yes|pneumothorax,anatomicalfinding|yes|lobar/segmental collapse,861,0.040916
anatomicalfinding|yes|hyperaeration,anatomicalfinding|yes|vascular calcification,1234,0.075614
anatomicalfinding|yes|hyperaeration,anatomicalfinding|yes|lobar/segmental collapse,371,-0.007054
anatomicalfinding|yes|vascular calcification,anatomicalfinding|yes|lobar/segmental collapse,193,-0.024716
